stage,rows,features,cv_mae,cv_mape,cv_rmse,cv_r2
before_feature_engineering,19735,27,52.95893711445382,61.01537645945866,93.80023053482616,0.1623965431534325
after_feature_engineering,19735,30,52.82980160307168,60.84274028118188,93.59564922098863,0.1660314457416187
