,precision,recall,f1-score,support
0,0.7194570135746606,0.7797490263954998,0.7483906693431163,6933.0
1,0.7540270618556701,0.6894977168949772,0.7203200738631992,6789.0
accuracy,0.735096924646553,0.735096924646553,0.735096924646553,0.735096924646553
macro avg,0.7367420377151654,0.7346233716452385,0.7343553716031577,13722.0
weighted avg,0.7365606469939708,0.735096924646553,0.7345026593800528,13722.0
