,precision,recall,f1-score,support
0,0.7242186796361344,0.7731730769230769,0.7478956424684927,10400.0
1,0.7511603375527426,0.6993027595011293,0.7243045313533032,10183.0
accuracy,0.7366273138026527,0.7366273138026527,0.7366273138026527,0.7366273138026527
macro avg,0.7376895085944385,0.736237918212103,0.736100086910898,20583.0
weighted avg,0.737547489943904,0.7366273138026527,0.736224443688627,20583.0
