stage,rows,features,cv_accuracy,cv_f1,cv_roc_auc
before_feature_engineering,70000,11,0.7210714285714286,0.70854493237187,0.7842768829709256
after_feature_engineering,68608,18,0.7268539704803435,0.7048736950103428,0.793035189828146
